Classification, Text
negative, wasn t able to sit in my seat since the guy next to me was using it #ideserveareward
positive, glad to know i ll be flying the luv airline tomorrow
negative, yes we did file a report and were treated rather rudely at midway baggage claim now we wait days to get our luggage 
negative, i would still have my companion pass if your ridiculous airline hadn t stopped partnering with hilton hotels genius 
negative, just got companion pass and trying to add companion flgt but get purchase error invalid_loyalty_member_account_status help 
negative, i did still haven t heard a thing 
positive, thank you for great customer service trying to make it to san antonio and your staff and alerts have been helpful boo ice 
positive, open seating is like an open marriagethere s so much love for strangers 
negative, i hope this isn t a real life scene out of the movie flight 
neutral, thanks are flights operating now or cancelled flightled 
neutral, we checked in right at hr mark boarding c group with kids ages dnt want to be split what sld we do 
negative, @lukewyckoff her name is jane and she wanted was a call 
positive, @matthewebel and this is why i love flying southwest excellent serviceand you don t take yourselves too seriously 
positive, @coachgs what s even better is the price changed in the minutes since i talked to the lady and they still honored the cheap 
neutral, hello are flights taking off from @dallaslovefield airport this noon am supposed to travel on flight to san antonio
neutral, we invite to fallowlearn about our activities prevention programs of health by condom rito family we r c 
neutral, unveils new including from #ohio
neutral, to start daily #b flights from #washington reagan to #ftlauderdale onaug
neutral, to end its daily #b flights from #washington reagan to #ftmyers onaug
neutral, to startxdaily #b flights from #orangecounty to #portland or onaug
neutral, to start daily #b flights from #columbus oh toonaug
neutral, to startxdaily #b flights from #columbus oh to #bostononaug
negative, password reset email is incredibly slow to arrive today checked spam foldertoo web site says a few minutesbut | 
